14000610  |01          |000224678244856535|00000000057872388|2021-09-01 04:18:28.888000|2021-09-01 04:54:38.378000|0:36:09.490000|BANK BATCH, PSP BATCH, PSP ACH|
14000611  |01          |000224025814212029|00000000056291604|2021-09-02 04:47:10.592000|2021-09-02 05:24:00.500000|0:36:49.908000|BANK BATCH, PSP BATCH, PSP ACH|
14000612  |01          |000202387865284709|00000000042169074|2021-09-03 04:21:28.014000|2021-09-03 04:59:09.814000|0:37:41.800000|BANK BATCH, PSP BATCH, PSP ACH|
14000613  |01          |000089090769139788|00000000038277244|2021-09-04 04:18:24.867000|2021-09-04 04:44:04.977000|0:25:40.110000|BANK BATCH, PSP BATCH, PSP ACH|
14000614  |01          |000227655169902978|00000000061547727|2021-09-05 04:31:37.858000|2021-09-05 05:09:01.266000|0:37:23.408000|BANK BATCH, PSP BATCH, PSP ACH|
14000615  |01          |000228736213546847|00000000060181218|2021-09-06 04:28:41.901000|2021-09-06 05:05:26.872000|0:36:44.971000|BANK BATCH, PSP BATCH, PSP ACH|
14000616  |01          |000226476995979465|00000000060261473|2021-09-07 04:48:23.967000|2021-09-07 05:25:12.290000|0:36:48.323000|BANK BATCH, PSP BATCH, PSP ACH|
14000617  |01          |000234001340621260|00000000092129573|2021-09-08 04:17:03.819000|2021-09-08 04:53:22.245000|0:36:18.426000|BANK BATCH, PSP BATCH, PSP ACH|
14000618  |01          |000241327876330300|00000000123589656|2021-09-09 04:42:35.016000|2021-09-09 05:19:03.795000|0:36:28.779000|BANK BATCH, PSP BATCH, PSP ACH|
14000619  |01          |000198916379499083|00000000050453658|2021-09-10 04:19:24.807000|2021-09-10 04:55:15.820000|0:35:51.013000|BANK BATCH, PSP BATCH, PSP ACH|
14000620  |01          |000089697473210429|00000000040554336|2021-09-11 04:31:19.618000|2021-09-11 04:56:22.373000|0:25:02.755000|BANK BATCH, PSP BATCH, PSP ACH|
14000621  |01          |000224386600169128|00000000059737061|2021-09-12 04:22:32.248000|2021-09-12 04:59:23.801000|0:36:51.553000|BANK BATCH, PSP BATCH, PSP ACH|
14000622  |01          |000218750621347738|00000000065860844|2021-09-13 04:18:15.438000|2021-09-13 04:56:00.655000|0:37:45.217000|BANK BATCH, PSP BATCH, PSP ACH|
14000623  |01          |000215556027324180|00000000073557612|2021-09-14 04:40:43.353000|2021-09-14 05:17:44.817000|0:37:01.464000|BANK BATCH, PSP BATCH, PSP ACH|
14000624  |01          |000211231584447595|00000000077978149|2021-09-15 04:24:46.256000|2021-09-15 05:01:15.009000|0:36:28.753000|BANK BATCH, PSP BATCH, PSP ACH|
14000625  |01          |000216154223184101|00000000087594012|2021-09-16 05:42:33.400000|2021-09-16 06:19:21.875000|0:36:48.475000|BANK BATCH, PSP BATCH, PSP ACH|
14000626  |01          |000194712035425826|00000000049702005|2021-09-17 05:04:08.217000|2021-09-17 05:40:56.175000|0:36:47.958000|BANK BATCH, PSP BATCH, PSP ACH|
14000627  |01          |000087472758009622|00000000042201859|2021-09-18 04:06:12.959000|2021-09-18 04:31:54.368000|0:25:41.409000|BANK BATCH, PSP BATCH, PSP ACH|
14000628  |01          |000227707662857530|00000000060993480|2021-09-19 04:27:56.154000|2021-09-19 05:05:03.887000|0:37:07.733000|BANK BATCH, PSP BATCH, PSP ACH|
14000629  |01          |000223706040976791|00000000071269652|2021-09-20 04:33:41.851000|2021-09-20 05:10:20.850000|0:36:38.999000|BANK BATCH, PSP BATCH, PSP ACH|
14000630  |01          |000231456206726172|00000000067329896|2021-09-21 04:22:42.142000|2021-09-21 05:00:14.121000|0:37:31.979000|BANK BATCH, PSP BATCH, PSP ACH|
14000631  |01          |000228916517169400|00000000069718822|2021-09-22 05:44:20.001000|2021-09-22 06:22:35.237000|0:38:15.236000|BANK BATCH, PSP BATCH, PSP ACH|
14000701  |01          |000231481469711922|00000000086841531|2021-09-23 04:36:15.569000|2021-09-23 05:15:21.999000|0:39:06.430000|BANK BATCH, PSP BATCH, PSP ACH|
14000702  |01          |000221830927382931|00000000063234202|2021-09-24 04:48:50.581000|2021-09-24 05:28:14.772000|0:39:24.191000|BANK BATCH, PSP BATCH, PSP ACH|
